,country,points,price,variety
0,Italy,87,35.36879626183683,White Blend
1,Portugal,87,15.0,Portuguese Red
2,US,87,14.0,Pinot Gris
3,US,87,13.0,Riesling
4,US,87,65.0,Pinot Noir
5,France,87,24.0,Gewürztraminer
6,Germany,87,12.0,Gewürztraminer
7,France,87,27.0,Pinot Gris
8,US,87,19.0,Cabernet Sauvignon
9,France,87,30.0,Gewürztraminer
10,US,87,34.0,Cabernet Sauvignon
11,US,87,12.0,Chardonnay
12,Germany,87,24.0,Riesling
13,Argentina,87,30.0,Malbec
14,Argentina,87,13.0,Malbec
15,US,87,23.0,Red Blend
16,US,87,20.0,Pinot Noir
17,Italy,87,19.0,White Blend
18,US,87,22.0,Merlot
19,US,87,69.0,Pinot Noir
20,Italy,87,13.0,White Blend
21,Italy,87,17.0,Red Blend
22,France,86,35.36879626183683,Gamay
23,Italy,86,35.36879626183683,Red Blend
24,Italy,86,35.36879626183683,White Blend
25,US,86,50.0,Red Blend
26,US,86,20.0,Sauvignon Blanc
27,US,86,50.0,Pinot Noir
28,Italy,86,21.0,Cabernet Sauvignon
29,US,86,22.0,Pinot Noir
30,France,86,9.0,Gamay
31,US,86,14.0,Sauvignon Blanc
32,Chile,86,9.0,Merlot
33,US,86,40.0,Red Blend
34,US,86,13.0,Riesling
35,US,86,16.0,Sauvignon Blanc
36,France,86,14.0,Gamay
37,Italy,86,35.36879626183683,Red Blend
38,France,85,15.0,Bordeaux-style White Blend
39,Italy,85,35.36879626183683,Red Blend
40,US,85,30.0,Chardonnay
41,US,85,14.0,Chardonnay
42,Chile,85,13.0,Pinot Noir
43,US,86,55.0,Malbec
44,US,86,100.0,Cabernet Sauvignon
45,Italy,86,17.0,Sangiovese
46,US,86,25.0,Cabernet Franc
47,France,86,58.0,Champagne Blend
48,US,86,26.0,Sauvignon Blanc
49,France,86,24.0,Chardonnay
50,France,86,15.0,Chardonnay
51,US,86,46.0,Bordeaux-style Red Blend
52,US,86,12.0,Red Blend
53,France,86,55.0,Champagne Blend
54,US,86,12.0,Chardonnay
55,US,86,40.0,Cabernet Sauvignon
56,US,86,75.0,Cabernet Sauvignon
57,US,86,75.0,Bordeaux-style Red Blend
58,Germany,86,9.0,Riesling
59,Australia,86,18.0,Chardonnay
60,US,86,25.0,Pinot Noir
61,Australia,86,20.0,Rosé
62,US,86,24.0,Zinfandel
63,Germany,86,10.0,Riesling
64,US,86,55.0,Merlot
65,US,88,23.0,Red Blend
66,US,88,18.0,Pinot Gris
67,Austria,88,12.0,Grüner Veltliner
68,France,88,20.0,Gamay
69,France,88,18.0,Gamay
70,US,88,20.0,Riesling
71,Italy,88,30.0,Sangiovese
72,US,88,75.0,Bordeaux-style Red Blend
73,US,88,18.0,Pinot Gris
74,US,87,20.0,Riesling
75,US,87,20.0,Riesling
76,Chile,87,18.0,Chardonnay
77,Italy,87,16.0,Red Blend
78,Italy,87,14.0,White Blend
79,Italy,87,30.0,Red Blend
80,US,87,26.0,Zinfandel
81,Italy,87,30.0,Red Blend
82,France,87,23.0,Gamay
83,US,87,85.0,Cabernet Sauvignon
84,Italy,87,15.0,Red Blend
85,Italy,87,19.0,White Blend
86,US,87,18.0,Bordeaux-style Red Blend
87,US,87,18.0,Chardonnay
88,US,87,44.0,Syrah
89,Italy,87,80.0,Red Blend
90,France,92,80.0,Riesling
91,Italy,92,70.0,Nebbiolo
92,US,92,36.0,Chardonnay
93,US,92,39.0,Zinfandel
94,US,92,45.0,Cabernet Sauvignon
95,South Africa,91,45.0,Cabernet Sauvignon
96,France,91,48.0,Gewürztraminer
97,France,91,13.0,White Blend
98,South Africa,91,25.0,Bordeaux-style Red Blend
99,Italy,91,70.0,Nebbiolo
100,South Africa,91,30.0,Cabernet Sauvignon
101,Italy,91,68.0,Nebbiolo
102,US,91,78.0,Cabernet Sauvignon
103,Italy,91,60.0,Nebbiolo
104,France,91,50.0,Bordeaux-style Red Blend
105,France,90,112.0,Pinot Gris
106,Italy,90,45.0,Nebbiolo
107,US,90,17.0,Riesling
108,France,90,84.0,Pinot Gris
109,US,91,85.0,Cabernet Sauvignon
110,US,91,64.0,Pinot Noir
111,US,91,68.0,Cabernet Sauvignon
112,US,91,68.0,Cabernet Sauvignon
113,Germany,91,16.0,Riesling
114,US,91,35.0,Rhône-style Red Blend
115,US,91,25.0,Cabernet Sauvignon
116,Portugal,91,30.0,Portuguese White
117,US,91,55.0,Pinot Noir
118,US,91,46.0,Syrah
119,US,91,36.0,Syrah
120,Germany,91,14.0,Riesling
121,Portugal,91,26.0,Portuguese Red
122,Italy,91,38.0,Sangiovese
123,Italy,91,35.36879626183683,Sangiovese
124,France,91,35.0,Malbec
125,US,91,35.0,Red Blend
126,US,91,28.0,Riesling
127,France,91,35.36879626183683,Gamay
128,Chile,91,29.0,Red Blend
129,Chile,91,32.0,Cabernet Sauvignon
130,US,91,28.0,Cabernet Franc
131,US,91,95.0,Merlot
132,US,91,44.0,Pinot Noir
133,Germany,91,30.0,Riesling
134,Germany,91,22.0,Riesling
135,Chile,91,20.0,Cabernet Sauvignon
136,US,91,38.0,Pinot Noir
137,New Zealand,88,19.0,Sauvignon Blanc
138,Chile,88,50.0,Red Blend
139,Italy,88,22.0,Sangiovese
140,US,88,25.0,Syrah
141,France,88,27.0,Chardonnay
142,US,88,23.0,Chardonnay
143,US,88,36.0,Pinot Noir
144,US,88,35.0,Chardonnay
145,US,88,40.0,Pinot Noir
146,Italy,88,48.0,Red Blend
147,Chile,88,11.0,Merlot
148,Chile,87,11.0,Chardonnay
149,Italy,87,26.0,Red Blend
150,Australia,87,30.0,Cabernet Sauvignon
151,Italy,87,20.0,Red Blend
152,France,87,35.0,Chardonnay
153,Italy,87,35.36879626183683,Sangiovese
154,US,90,60.0,Cabernet Sauvignon
155,US,90,28.0,Cabernet Franc
156,Italy,90,35.36879626183683,Sangiovese
157,Italy,90,62.0,White Blend
158,Israel,90,50.0,Syrah
159,Portugal,90,28.0,Portuguese Red
160,US,90,25.0,Chardonnay
161,US,90,25.0,Cabernet Sauvignon
162,US,90,32.0,Zinfandel
163,South Africa,90,40.0,White Blend
164,France,90,16.0,Rhône-style Red Blend
165,South Africa,90,20.0,Chardonnay
166,France,90,32.0,Rhône-style Red Blend
167,US,90,48.0,Red Blend
168,US,90,36.0,Rhône-style Red Blend
169,Israel,90,80.0,Bordeaux-style Red Blend
170,Italy,90,57.0,Sangiovese
171,Portugal,90,20.0,Portuguese Red
172,US,90,40.0,Chardonnay
173,Italy,90,35.36879626183683,Sangiovese
174,Argentina,90,22.0,Malbec
175,South Africa,90,25.0,Chardonnay
176,US,85,15.0,Pinot Noir
