,country,points,price,variety
0,15,87,35.36879626183683,26
1,22,87,15.0,15
2,28,87,14.0,13
3,28,87,13.0,19
4,28,87,65.0,14
5,9,87,24.0,7
6,11,87,12.0,7
7,9,87,27.0,13
8,28,87,19.0,3
9,9,87,30.0,7
10,28,87,34.0,3
11,28,87,12.0,5
12,11,87,24.0,19
13,0,87,30.0,9
14,0,87,13.0,9
15,28,87,23.0,17
16,28,87,20.0,14
17,15,87,19.0,26
18,28,87,22.0,10
19,28,87,69.0,14
20,15,87,13.0,26
21,15,87,17.0,17
22,9,86,35.36879626183683,6
23,15,86,35.36879626183683,17
24,15,86,35.36879626183683,26
25,28,86,50.0,17
26,28,86,20.0,22
27,28,86,50.0,14
28,15,86,21.0,3
29,28,86,22.0,14
30,9,86,9.0,6
31,28,86,14.0,22
32,6,86,9.0,10
33,28,86,40.0,17
34,28,86,13.0,19
35,28,86,16.0,22
36,9,86,14.0,6
37,15,86,35.36879626183683,17
38,9,85,15.0,1
39,15,85,35.36879626183683,17
40,28,85,30.0,5
41,28,85,14.0,5
42,6,85,13.0,14
43,28,86,55.0,9
44,28,86,100.0,3
45,15,86,17.0,21
46,28,86,25.0,2
47,9,86,58.0,4
48,28,86,26.0,22
49,9,86,24.0,5
50,9,86,15.0,5
51,28,86,46.0,0
52,28,86,12.0,17
53,9,86,55.0,4
54,28,86,12.0,5
55,28,86,40.0,3
56,28,86,75.0,3
57,28,86,75.0,0
58,11,86,9.0,19
59,1,86,18.0,5
60,28,86,25.0,14
61,1,86,20.0,20
62,28,86,24.0,27
63,11,86,10.0,19
64,28,86,55.0,10
65,28,88,23.0,17
66,28,88,18.0,13
67,2,88,12.0,8
68,9,88,20.0,6
69,9,88,18.0,6
70,28,88,20.0,19
71,15,88,30.0,21
72,28,88,75.0,0
73,28,88,18.0,13
74,28,87,20.0,19
75,28,87,20.0,19
76,6,87,18.0,5
77,15,87,16.0,17
78,15,87,14.0,26
79,15,87,30.0,17
80,28,87,26.0,27
81,15,87,30.0,17
82,9,87,23.0,6
83,28,87,85.0,3
84,15,87,15.0,17
85,15,87,19.0,26
86,28,87,18.0,0
87,28,87,18.0,5
88,28,87,44.0,24
89,15,87,80.0,17
90,9,92,80.0,19
91,15,92,70.0,11
92,28,92,36.0,5
93,28,92,39.0,27
94,28,92,45.0,3
95,25,91,45.0,3
96,9,91,48.0,7
97,9,91,13.0,26
98,25,91,25.0,0
99,15,91,70.0,11
100,25,91,30.0,3
101,15,91,68.0,11
102,28,91,78.0,3
103,15,91,60.0,11
104,9,91,50.0,0
105,9,90,112.0,13
106,15,90,45.0,11
107,28,90,17.0,19
108,9,90,84.0,13
109,28,91,85.0,3
110,28,91,64.0,14
111,28,91,68.0,3
112,28,91,68.0,3
113,11,91,16.0,19
114,28,91,35.0,18
115,28,91,25.0,3
116,22,91,30.0,16
117,28,91,55.0,14
118,28,91,46.0,24
119,28,91,36.0,24
120,11,91,14.0,19
121,22,91,26.0,15
122,15,91,38.0,21
123,15,91,35.36879626183683,21
124,9,91,35.0,9
125,28,91,35.0,17
126,28,91,28.0,19
127,9,91,35.36879626183683,6
128,6,91,29.0,17
129,6,91,32.0,3
130,28,91,28.0,2
131,28,91,95.0,10
132,28,91,44.0,14
133,11,91,30.0,19
134,11,91,22.0,19
135,6,91,20.0,3
136,28,91,38.0,14
137,20,88,19.0,22
138,6,88,50.0,17
139,15,88,22.0,21
140,28,88,25.0,24
141,9,88,27.0,5
142,28,88,23.0,5
143,28,88,36.0,14
144,28,88,35.0,5
145,28,88,40.0,14
146,15,88,48.0,17
147,6,88,11.0,10
148,6,87,11.0,5
149,15,87,26.0,17
150,1,87,30.0,3
151,15,87,20.0,17
152,9,87,35.0,5
153,15,87,35.36879626183683,21
154,28,90,60.0,3
155,28,90,28.0,2
156,15,90,35.36879626183683,21
157,15,90,62.0,26
158,14,90,50.0,24
159,22,90,28.0,15
160,28,90,25.0,5
161,28,90,25.0,3
162,28,90,32.0,27
163,25,90,40.0,26
164,9,90,16.0,18
165,25,90,20.0,5
166,9,90,32.0,18
167,28,90,48.0,17
168,28,90,36.0,18
169,14,90,80.0,0
170,15,90,57.0,21
171,22,90,20.0,15
172,28,90,40.0,5
173,15,90,35.36879626183683,21
174,0,90,22.0,9
175,25,90,25.0,5
176,28,85,15.0,14
177,28,85,14.0,19
178,28,85,18.0,17
179,28,85,16.0,7
180,28,85,28.0,14
181,28,85,49.0,24
182,28,85,85.0,3
183,28,85,36.0,3
184,28,85,34.0,21
185,28,85,15.0,5
186,28,85,30.0,5
187,26,85,13.0,17
188,0,85,12.0,5
189,1,85,15.0,22
190,28,85,25.0,10
191,28,85,45.0,14
192,28,85,18.0,0
193,28,85,49.0,3
194,28,85,22.0,14
195,28,85,35.0,27
196,0,85,15.0,9
197,28,89,55.0,14
198,25,89,18.0,17
199,25,89,35.0,3
200,9,89,13.0,9
201,28,89,40.0,14
202,0,89,37.0,17
203,28,89,39.0,17
204,28,89,60.0,14
205,25,89,19.0,24
206,25,89,40.0,5
207,0,89,14.0,17
208,15,89,40.0,26
209,15,89,36.0,26
210,0,89,19.0,17
211,15,89,13.0,26
212,0,89,30.0,3
213,28,89,20.0,27
214,28,89,30.0,3
215,28,89,50.0,14
216,2,92,24.0,8
217,28,92,34.0,14
218,15,92,41.0,17
219,28,92,52.0,14
220,0,92,215.0,9
221,2,92,35.36879626183683,19
222,28,92,60.0,14
223,2,92,35.36879626183683,8
224,28,92,125.0,3
225,9,92,35.36879626183683,0
226,0,92,30.0,9
227,6,87,20.0,3
228,28,87,15.0,3
229,6,87,19.0,3
230,15,87,35.36879626183683,17
231,28,87,28.0,21
232,28,87,14.0,5
233,15,87,35.36879626183683,11
234,15,87,56.0,11
235,28,87,24.0,27
236,23,87,7.0,5
237,9,87,30.0,14
238,12,87,18.0,26
239,15,87,20.0,11
240,15,87,18.0,11
241,20,87,18.0,24
242,28,87,40.0,3
243,15,87,35.36879626183683,11
244,28,87,28.0,3
245,9,86,35.36879626183683,1
246,9,86,35.36879626183683,1
247,6,86,18.0,10
248,6,86,35.0,3
249,6,86,18.0,5
250,28,86,16.0,26
251,28,86,34.0,27
252,28,86,40.0,17
253,6,86,15.0,7
254,9,86,42.0,4
255,6,83,35.0,14
256,9,83,16.0,20
257,9,82,11.0,20
258,26,82,13.0,23
259,9,82,18.0,13
260,28,82,48.0,27
261,26,82,11.0,23
262,6,81,20.0,14
263,6,80,19.0,5
264,11,97,775.0,19
265,15,97,150.0,11
266,28,96,68.0,5
267,9,96,630.0,5
268,11,96,365.0,19
269,28,96,68.0,5
270,9,95,350.0,14
271,11,95,66.0,19
272,9,95,110.0,5
273,15,95,60.0,11
274,28,95,200.0,3
275,9,95,380.0,5
276,28,95,48.0,14
277,15,88,21.0,5
278,28,88,160.0,3
279,15,88,23.0,22
280,15,88,10.0,26
281,15,88,15.0,22
282,28,88,19.0,22
283,15,88,40.0,21
284,15,88,18.0,12
285,12,88,35.36879626183683,26
286,17,88,18.0,11
287,15,88,15.0,26
288,6,88,12.0,10
289,15,88,11.0,26
290,6,88,15.0,3
291,15,88,9.0,5
292,15,88,30.0,7
293,28,88,18.0,22
294,28,88,34.0,10
295,28,88,17.0,22
296,28,88,25.0,14
297,15,88,15.0,26
298,6,88,12.0,3
299,6,88,14.0,5
300,28,87,12.0,22
301,6,87,11.0,5
302,6,87,12.0,10
303,15,87,35.36879626183683,26
304,28,85,16.0,27
305,6,85,15.0,14
306,6,85,13.0,22
307,6,85,11.0,24
308,28,85,15.0,17
309,28,85,45.0,24
310,9,85,30.0,4
311,6,85,14.0,5
312,28,85,20.0,7
313,28,85,20.0,2
314,28,85,12.0,3
315,28,85,14.0,19
316,2,85,35.36879626183683,17
317,9,89,20.0,0
318,9,89,35.36879626183683,1
319,28,89,30.0,10
320,2,89,23.0,8
321,28,89,30.0,26
322,28,89,18.0,20
323,26,89,18.0,25
324,28,89,35.0,23
325,2,89,17.0,8
326,28,89,42.0,24
327,28,89,30.0,22
328,28,89,24.0,25
329,28,89,16.0,19
330,15,89,89.0,11
331,28,89,54.0,0
332,28,89,38.0,3
333,28,89,35.0,2
334,28,88,32.0,27
335,2,88,12.0,8
336,28,88,20.0,3
337,15,92,39.0,5
338,9,92,35.36879626183683,4
339,15,92,35.0,21
340,9,92,35.36879626183683,5
341,9,92,69.0,4
342,28,92,40.0,5
343,28,92,23.0,23
344,28,92,45.0,14
345,15,92,50.0,23
346,9,92,100.0,4
347,28,92,50.0,14
348,9,92,66.0,5
349,9,92,60.0,4
350,11,92,115.0,19
351,15,92,69.0,17
352,9,92,35.36879626183683,5
353,28,92,65.0,14
354,11,92,42.0,19
355,11,92,27.0,19
356,9,92,70.0,4
357,9,92,73.0,14
358,9,92,72.0,14
359,22,92,34.0,15
360,9,92,35.36879626183683,4
361,28,92,130.0,3
362,28,92,88.0,17
363,9,92,65.0,0
364,9,92,35.36879626183683,4
365,28,87,45.0,0
366,28,87,60.0,14
367,9,87,13.0,18
368,28,87,13.0,3
369,15,87,15.0,26
370,15,87,18.0,12
371,26,87,19.0,23
372,2,87,18.0,8
373,28,87,30.0,21
374,28,87,35.0,17
375,28,87,12.0,5
376,28,87,18.0,5
377,28,87,30.0,2
378,28,87,17.0,14
379,9,87,20.0,20
380,26,87,11.0,20
381,28,87,19.0,22
382,9,87,15.0,18
383,26,87,16.0,25
384,15,87,12.0,26
385,28,87,28.0,24
386,28,87,28.0,25
387,28,91,65.0,17
388,28,91,48.0,5
389,9,91,70.0,4
390,9,91,59.0,4
391,28,91,90.0,3
392,6,91,35.0,10
393,28,91,75.0,14
394,28,91,55.0,14
395,28,91,55.0,14
396,9,91,60.0,14
397,28,91,55.0,14
398,28,91,65.0,14
399,28,91,35.0,24
400,28,91,49.0,5
401,28,91,55.0,14
402,9,91,42.0,4
403,28,91,45.0,14
404,6,91,24.0,24
405,28,91,50.0,23
406,28,91,50.0,14
407,28,91,50.0,14
408,28,91,38.0,3
409,11,91,22.0,19
410,28,91,50.0,0
411,28,91,110.0,3
412,28,91,45.0,14
413,28,93,42.0,14
414,28,93,60.0,14
415,28,93,42.0,14
416,28,93,75.0,3
417,28,93,54.0,17
418,28,93,85.0,3
419,28,93,50.0,5
420,28,93,150.0,21
421,28,93,85.0,14
422,15,93,90.0,11
423,28,93,35.0,5
424,28,93,46.0,27
425,9,93,20.0,20
426,0,93,42.0,9
427,9,93,40.0,20
428,28,93,75.0,3
429,26,93,88.0,25
430,28,93,40.0,14
431,28,93,25.0,26
432,28,93,45.0,24
433,28,93,50.0,14
434,28,93,48.0,14
435,28,93,62.0,24
436,28,93,100.0,17
437,28,93,53.0,3
438,0,93,55.0,9
439,28,93,70.0,3
440,28,89,38.0,5
441,28,89,50.0,24
442,9,89,14.0,0
443,9,89,11.0,20
444,9,89,14.0,0
445,9,89,37.0,0
446,28,89,17.0,20
447,9,89,15.0,0
448,28,89,13.0,20
